Milestone,Report date,Estimated end date
Milestone 1,2024-05-01,2024-06-10
Milestone 2,2024-05-01,2024-07-10
Milestone 3,2024-05-01,2024-08-10
Milestone 4,2024-05-01,2024-09-10
Milestone 1,2024-05-08,2024-06-17
Milestone 2,2024-05-08,2024-07-10
Milestone 3,2024-05-08,2024-08-10
Milestone 4,2024-05-08,2024-09-10
Milestone 1,2024-05-15,2024-06-17
Milestone 2,2024-05-15,2024-07-03
Milestone 3,2024-05-15,2024-08-10
Milestone 4,2024-05-15,2024-09-10
Milestone 1,2024-05-22,2024-06-17
Milestone 2,2024-05-22,2024-07-03
Milestone 3,2024-05-22,2024-09-10
Milestone 4,2024-05-22,2024-09-10
Milestone 1,2024-05-29,2024-06-17
Milestone 2,2024-05-29,2024-07-03
Milestone 3,2024-05-29,2024-09-10
Milestone 4,2024-05-29,2024-09-10
Milestone 1,2024-06-05,2024-06-17
Milestone 2,2024-06-05,2024-07-03
Milestone 3,2024-06-05,2024-09-10
Milestone 4,2024-06-05,2024-10-20
Milestone 1,2024-06-12,2024-06-17
Milestone 2,2024-06-12,2024-07-03
Milestone 3,2024-06-12,2024-09-10
Milestone 4,2024-06-12,2024-10-20
Milestone 1,2024-06-19,2024-06-17
Milestone 2,2024-06-19,2024-07-03
Milestone 3,2024-06-19,2024-09-10
Milestone 4,2024-06-19,2024-10-20
Milestone 1,2024-06-26,2024-06-17
Milestone 2,2024-06-26,2024-07-03
Milestone 3,2024-06-26,2024-09-10
Milestone 4,2024-06-26,2024-10-20
